1684661963154, Floor_2, 38
1684661975168, Room_A, 36
1684661976171, Room_B, 38
1684661982178, Floor_1, 37
1684661985181, Room_C, 38
1684661986184, Room_B, 37
1684661990189, Room_B, 39
1684661994196, Room_C, 37
1684661997201, Room_A, 37
1684662007220, Floor_1, 38
1684662009220, Floor_2, 36
1684662010219, Floor_2, 36
1684662011222, Room_C, 37
1684662014226, Room_B, 35
1684662017229, Room_C, 39
1684662022242, Floor_1, 36
1684662028250, Room_B, 37
1684662036264, Floor_2, 38
1684662044272, Floor_2, 36
1684662045275, Floor_2, 35
1684662046275, Room_B, 35
1684662047277, Floor_1, 38
1684662051281, Room_A, 38
1684662053285, Room_C, 38
1684662054287, Floor_1, 35
1684662057291, Room_B, 38
1684662061298, Room_B, 36
1684662063302, Room_A, 39
1684662067310, Floor_1, 35
1684662074316, Floor_2, 39
1684662075318, Room_A, 37
1684662076322, Room_A, 35
1684662078325, Room_A, 36
1684662079326, Room_C, 38
1684662080328, Room_C, 38
1684662087349, Room_B, 35
1684662089340, Floor_1, 36
1684662090342, Room_B, 39
1684662092347, Room_B, 39
1684662093349, Room_C, 39
1684662095355, Floor_2, 35
1684662097354, Room_B, 38
1684662101357, Floor_1, 35
1684662108367, Room_B, 36
1684662114372, Room_B, 35
1684662115373, Floor_2, 35
1684662119383, Room_A, 35
1684662121381, Room_A, 35
1684662126388, Floor_1, 35
1684662142423, Floor_1, 35
1684662143415, Room_A, 39
1684662153428, Room_B, 35
1684662156431, Floor_1, 35
1684662160436, Room_A, 39
1684662164441, Room_C, 36
1684662165446, Floor_2, 36
1684662166445, Floor_2, 37
1684662169448, Room_C, 39
1684662174453, Floor_1, 36
1684662184465, Floor_1, 37
1684662187468, Floor_2, 36
1684662194475, Room_A, 36
1684662198480, Floor_1, 39
1684662199481, Floor_1, 36
1684662206491, Room_B, 38
1684662212498, Room_C, 35
1684662215501, Room_B, 35
1684662225521, Floor_1, 35
1684662250543, Room_C, 37
1684662251546, Room_B, 38
1684662254548, Room_A, 35
1684662256553, Floor_1, 39
1684662265565, Floor_2, 38
1684662268569, Floor_1, 35
1684662270573, Floor_2, 35
1684662278584, Room_B, 38
1684662279583, Floor_2, 35
1684662282588, Room_C, 36
1684662288593, Room_B, 38
1684662297605, Floor_1, 38
1684662304615, Room_B, 37
1684662305615, Floor_1, 37
1684662306617, Floor_2, 38
1684662313627, Floor_2, 37
1684662316631, Floor_2, 35
1684662320635, Floor_2, 38
1684662322637, Floor_2, 36
1684662327643, Room_A, 38
1684662328643, Room_C, 35
1684662330647, Room_B, 35
1684662333650, Floor_2, 39
1684662336654, Room_B, 38
1684662338658, Room_B, 36
1684662340659, Room_B, 35
1684662345667, Floor_1, 36
1684662346668, Floor_1, 37
1684662350672, Room_C, 36
1684662357679, Room_B, 35
1684662360684, Floor_2, 35
1684662367692, Room_C, 37
1684662376704, Room_B, 37
1684662377705, Room_A, 36
1684662378706, Room_B, 39
1684662379706, Floor_2, 35
1684662380707, Floor_1, 37
1684662382711, Floor_1, 37
1684662384711, Room_A, 36
1684662388719, Room_A, 36
1684662392724, Room_B, 39
1684662402735, Room_B, 37
1684662406741, Room_A, 37
1684662412748, Room_B, 39
1684662413748, Floor_1, 36
1684662420761, Room_C, 38
1684662438780, Room_C, 35
1684662439787, Room_A, 38
1684662442785, Floor_2, 39
1684662443785, Floor_1, 38
1684662449792, Room_C, 38
1684662450793, Room_A, 38
1684662455801, Room_B, 36
1684662463811, Floor_1, 35
1684662469821, Room_A, 39
1684662471819, Floor_1, 35
1684662478829, Floor_1, 38
